stereotype_id,stereotype,n_samples,mean_preference,inclination,rank
1,Emotional,212,0.6298024748119698,-0.026534862440269147,11
2,Gentle,175,0.6466759431129977,-0.009661394139241275,10
3,Empathetic,208,0.6040429666878738,-0.052294370564365145,14
4,Neat,158,0.6201226096370068,-0.036214727615232145,12
5,Social,167,0.6183732144876776,-0.0379641227645614,13
6,Weak,159,0.6551425748088537,-0.0011947624433852333,9
7,Beautiful,196,0.521159036047951,-0.13517830120428798,15
8,Tough,191,0.700227035297649,0.043889698045409986,5
9,Self-confident,181,0.69848473250754,0.04214739525530098,6
10,Professional,159,0.7065096746884004,0.05017233743616145,4
11,Rational,196,0.7151214710217285,0.058784133769489544,2
12,Providers,182,0.6728735985860431,0.016536261333804148,7
13,Leaders,164,0.7406152162953707,0.08427787904313178,1
14,Childish,157,0.659572173540284,0.0032348362880449955,8
15,Sexual,169,0.5165110374177304,-0.13982629983450856,16
16,Strong,155,0.7087450649376206,0.0524077276853816,3
